title,cat1,cat2,cat3,cat4,img,link
베라왕 크루아상 크로스백,패션잡화,가방/지갑,여성가방,크로스백,https://asset.m-gs.kr/prod/1064545143/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1064545143&sectid=1660580&lsectid=1660580&cate_link=303-1660580&rank=6&lseq=427008
프렌치쿼터 로라 나일론 카메라백,패션잡화,가방/지갑,여성가방,크로스백,https://asset.m-gs.kr/prod/1057558913/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1057558913&sectid=1660580&lsectid=1660580&cate_link=303-1660580&rank=7&lseq=427008
에스콰이아 여성 배럴 북토트백 EIDFHB049IV,패션잡화,가방/지갑,여성가방,토트백,https://asset.m-gs.kr/prod/1069214868/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1069214868&sectid=1660580&lsectid=1660580&cate_link=303-1660580&rank=8&lseq=427004
14k Flat 체인 반지-TypeA,패션잡화,주얼리/시계,반지,14K/18K반지,https://asset.m-gs.kr/prod/58638821/1/250,https://www.gsshop.com/prd/prd.gs?prdid=58638821&sectid=1660581&lsectid=1660581&cate_link=303-1660581&rank=1&lseq=427004
순금 럭키피쉬 행운 펜던트 PG1046,패션잡화,주얼리/시계,순금제품,순금목걸이,https://asset.m-gs.kr/prod/1065073532/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1065073532&sectid=1660581&lsectid=1660581&cate_link=303-1660581&rank=2&lseq=427004
제메이스 24K순금 루카스 금볼 반지+24K순금 골드바,패션잡화,주얼리/시계,순금제품,순금반지,https://asset.m-gs.kr/prod/1076829088/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1076829088&sectid=1660581&lsectid=1660581&cate_link=303-1660581&rank=3&lseq=427008
베라토 24K 순금 골든럭키 고래꼬리 매듭 팔찌,패션잡화,주얼리/시계,순금제품,순금팔찌/발찌,https://asset.m-gs.kr/prod/1072385967/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1072385967&sectid=1660581&lsectid=1660581&cate_link=303-1660581&rank=4&lseq=427004
14K 18K BEST 쥬얼리 모음 사은품 증정,패션잡화,주얼리/시계,반지,14K/18K반지,https://asset.m-gs.kr/prod/1021623078/1/250,https://www.gsshop.com/deal/deal.gs?dealNo=1021623078&sectid=1660581&lsectid=1660581&cate_link=303-1660581&rank=5&lseq=427003
당일발송 순금 골드바 3.75g 99.99% [ 덩어리 ],패션잡화,주얼리/시계,순금제품,순금/순은,https://asset.m-gs.kr/prod/1065757183/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1065757183&sectid=1660581&lsectid=1660581&cate_link=303-1660581&rank=6&lseq=427004
14K 골드 필드 스왈 진주 데일리 스터드 금 귀걸이,패션잡화,주얼리/시계,귀걸이,14K/18K귀걸이,https://asset.m-gs.kr/prod/90911603/1/250,https://www.gsshop.com/prd/prd.gs?prdid=90911603&sectid=1660581&lsectid=1660581&cate_link=303-1660581&rank=7&lseq=427004
14k 통통컷 하트 펜던트(리버시블),패션잡화,주얼리/시계,목걸이,14K/18K목걸이,https://asset.m-gs.kr/prod/93537447/1/250,https://www.gsshop.com/prd/prd.gs?prdid=93537447&sectid=1660581&lsectid=1660581&cate_link=303-1660581&rank=8&lseq=427004
베라왕 플랫 판토 선글라스 VW532,패션잡화,패션소품/액세서리,선글라스,,https://asset.m-gs.kr/prod/1078847760/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1078847760&sectid=1660582&lsectid=1660582&cate_link=303-1660582&rank=1&lseq=427008
서포트라이트 INK 잉크 티타늄 폴리곤 선글라스,패션잡화,패션소품/액세서리,선글라스,,https://asset.m-gs.kr/prod/1076624028/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1076624028&sectid=1660582&lsectid=1660582&cate_link=303-1660582&rank=2&lseq=427008
메종플라워 햇빛차단 3단 암막우산 양산겸용(+전용파우치) 총2개입,패션잡화,패션소품/액세서리,우산/양산,,https://asset.m-gs.kr/prod/1080147981/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1080147981&sectid=1660582&lsectid=1660582&cate_link=303-1660582&rank=3&lseq=427004
서포트라이트 PEBBLE 페블 엣지 원형 선글라스,패션잡화,패션소품/액세서리,선글라스,,https://asset.m-gs.kr/prod/1075959460/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1075959460&sectid=1660582&lsectid=1660582&cate_link=303-1660582&rank=4&lseq=427008
더글홀스/디노 스카프/손수건 신상추가,패션잡화,패션소품/액세서리,손수건,,https://asset.m-gs.kr/prod/1051154083/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1051154083&sectid=1660582&lsectid=1660582&cate_link=303-1660582&rank=5&lseq=427004
엔비 라인 배색 삼각 스카프 2개 선택 쁘띠,패션잡화,패션소품/액세서리,스카프/머플러/숄,,https://asset.m-gs.kr/prod/1073484144/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1073484144&sectid=1660582&lsectid=1660582&cate_link=303-1660582&rank=6&lseq=427004
엔비 사각 스카프 빅 쁘띠 +무배,패션잡화,패션소품/액세서리,스카프/머플러/숄,,https://asset.m-gs.kr/prod/1065165721/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1065165721&sectid=1660582&lsectid=1660582&cate_link=303-1660582&rank=7&lseq=427004
할인바이할인 메종플라워 햇빛차단 3단 암막우산 양산겸용(+전용파우치),패션잡화,패션소품/액세서리,우산/양산,,https://asset.m-gs.kr/prod/1072932843/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1072932843&sectid=1660582&lsectid=1660582&cate_link=303-1660582&rank=8&lseq=427004
아메리칸투어리스터 트레페 플러스 여행가방 5종 세트,패션잡화,여행가방/소품,여행가방,캐리어세트,https://asset.m-gs.kr/prod/99365787/1/250,https://www.gsshop.com/prd/prd.gs?prdid=99365787&sectid=1660583&lsectid=1660583&cate_link=303-1660583&rank=1&lseq=427008
델시 기내용+화물용 캐리어 9종 세트,패션잡화,여행가방/소품,여행가방,기내용캐리어,https://asset.m-gs.kr/prod/1063315007/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1063315007&sectid=1660583&lsectid=1660583&cate_link=303-1660583&rank=2&lseq=427008
라오메뜨 전설의 패치 프리미엄 준대형 (총 240매),패션잡화,여행가방/소품,여행가방소품,네임태그,https://asset.m-gs.kr/prod/1070775697/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1070775697&sectid=1660583&lsectid=1660583&cate_link=303-1660583&rank=3&lseq=427008
내셔널지오그래픽 두오모캐리어(24+20+백팩+백인백+여권지갑+커버),패션잡화,여행가방/소품,여행가방,캐리어세트,https://asset.m-gs.kr/prod/1026764140/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1026764140&sectid=1660583&lsectid=1660583&cate_link=303-1660583&rank=4&lseq=427008
아메리칸투어리스터 NEW 에어라이더 캐리어 세트 6종(특대형),패션잡화,여행가방/소품,여행가방,캐리어세트,https://asset.m-gs.kr/prod/1033562261/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1033562261&sectid=1660583&lsectid=1660583&cate_link=303-1660583&rank=5&lseq=427008
내셔널지오그래픽 하바나캐리어세트 28형20형 2종택1",패션잡화,여행가방/소품,여행가방,캐리어세트,https://asset.m-gs.kr/prod/1061944927/1/250,https://www.gsshop.com/prd/prd.gs?prdid=1061944927&sectid=1660583&lsectid=1660583&cate_link=303-1660583&rank=6&lseq=427004
